"","gene1","gene2","p.value","q.value"
"447","TP53","PAX5",5.89860801724135e-05,0.0036697084530288
"524","TP53","PSIP1",5.89860801724135e-05,0.0036697084530288
"586","ZBTB20","TP53",5.89860801724135e-05,0.0036697084530288
"96","PPP2R1A","CACNA1A",6.09424313342886e-05,0.00375428538847478
"417","PPP2R1A","MTOR",6.09424313342886e-05,0.00375428538847478
"159","DDX3X","CTNNB1",6.30229924013098e-05,0.0038901824828148
"322","PPP2R1A","INPPL1",6.35917542000564e-05,0.00392357206066743
"421","TP53","MYC",6.40913280187317e-05,0.00393709662426692
"354","SPOP","KMT2D",6.57062419443773e-05,0.00402564437537315
"483","PPP2R1A","POLQ",6.71927601970373e-05,0.00408546308053907
"521","ZMYM3","PPP2R1A",6.71927601970373e-05,0.00408546308053907
"488","PTPRC","PPP2R1A",7.26948377528916e-05,0.00442044883606827
"182","MED12","CTNNB1",7.41105984242376e-05,0.00453683918337937
"118","PPP2R1A","CDKN2A",7.49911692822712e-05,0.00457650424694465
"329","KRAS","KDM5C",7.72385842586848e-05,0.00468581816971093
"163","EPHA3","CTNNB1",7.89581268822798e-05,0.00475070278495614
"107","FBXW7","CCND1",8.09248887989556e-05,0.004850450471298
"500","SIN3A","PPP2R1A",8.27018318374062e-05,0.00499119055943779
"64","CTNNB1","ATM",8.37586059991866e-05,0.00502839917764342
"318","TP53","IL6ST",8.53220044184161e-05,0.00513862037910662
"249","PPP2R1A","EPHA3",8.55440808377484e-05,0.00513862037910662
"573","TP53","TCF12",8.70728650451219e-05,0.00520972620220562
"515","TSC1","PPP2R1A",8.76716777451589e-05,0.00523950146020204
"203","RNF43","CTNNB1",9.1834517130242e-05,0.00545760591473474
"5","TP53","ACVR1",9.19638414929617e-05,0.00545760591473474
"553","TP53","SMAD2",9.19638414929617e-05,0.00545760591473474
"260","PPP2R1A","ERBB4",9.26115364081346e-05,0.00548820978951909
"181","MACF1","CTNNB1",0.000101188039533328,0.00598676943047749
"172","HUWE1","CTNNB1",0.000101945860759693,0.00599752533011364
"485","TP53","PPM1D",0.000102137306712854,0.00599752533011364
"198","POLQ","CTNNB1",0.000104679992061517,0.00615673089333345
"505","SOX17","PPP2R1A",0.00010473692422602,0.00615673089333345
"540","TP53","RNF111",0.000107528936282935,0.00634244484339468
"258","SPOP","ERBB3",0.000107865514801696,0.00634599314775828
"332","KRAS","KDM6A",0.000108211751872116,0.0063506998238194
"277","TP53","FGFR1",0.000109759168547146,0.00640580200878478
"217","PPP2R1A","CUL3",0.000112393459208038,0.00650061245352399
